[*] Device Monitor Panel running on http://0.0.0.0:5000
[*] Dashboard:  http://localhost:5000
[*] Data file:  monitor_data.db
[*] Press Ctrl+C to stop
[+] NOTIF  dev=DEV-2299418B pkg=com.android.chrome title='Rangasthalam.2018.UNC….mkv'
[+] NOTIF  dev=DEV-2299418B pkg=com.android.chrome title='Rangasthalam.2018.UNC….mkv'
[+] NOTIF  dev=DEV-2299418B pkg=com.android.chrome title='Rangasthalam.2018.UNC….mkv'
[+] NOTIF  dev=DEV-2299418B pkg=com.android.chrome title='Rangasthalam.2018.UNC….mkv'
[+] NOTIF  dev=DEV-2299418B pkg=com.android.chrome title='Rangasthalam.2018.UNC….mkv'
[+] NOTIF  dev=DEV-2299418B pkg=com.android.chrome title='Rangasthalam.2018.UNC….mkv'
[+] NOTIF  dev=DEV-2299418B pkg=com.android.chrome title='Rangasthalam.2018.UNC….mkv'
[+] NOTIF  dev=DEV-2299418B pkg=com.facebook.katana title='Sanjana Chaudhary'
[+] NOTIF  dev=DEV-2299418B pkg=com.android.chrome title='Rangasthalam.2018.UNC….mkv'
[+] NOTIF  dev=DEV-2299418B pkg=com.android.chrome title='Rangasthalam.2018.UNC….mkv'
[+] NOTIF  dev=DEV-2299418B pkg=com.android.chrome title='Rangasthalam.2018.UNC….mkv'
[+] NOTIF  dev=DEV-2299418B pkg=com.android.chrome title='Rangasthalam.2018.UNC….mkv'
[+] NOTIF  dev=DEV-2299418B pkg=com.android.chrome title='Rangasthalam.2018.UNC….mkv'
[+] NOTIF  dev=DEV-2299418B pkg=com.android.chrome title='Rangasthalam.2018.UNC….mkv'
[+] NOTIF  dev=DEV-2299418B pkg=com.android.chrome title='Rangasthalam.2018.UNC….mkv'
[+] NOTIF  dev=DEV-2299418B pkg=com.android.chrome title='Rangasthalam.2018.UNC….mkv'
[+] NOTIF  dev=DEV-2299418B pkg=com.android.chrome title='Rangasthalam.2018.UNC….mkv'
[+] NOTIF  dev=DEV-2299418B pkg=com.android.chrome title='Rangasthalam.2018.UNC….mkv'
[+] NOTIF  dev=DEV-2299418B pkg=com.android.chrome title='Rangasthalam.2018.UNC….mkv'
[+] NOTIF  dev=DEV-2299418B pkg=com.android.chrome title='Rangasthalam.2018.UNC….mkv'
[+] NOTIF  dev=DEV-2299418B pkg=com.android.chrome title='Rangasthalam.2018.UNC….mkv'
[+] NOTIF  dev=DEV-2299418B pkg=com.android.chrome title='Rangasthalam.2018.UNC….mkv'
[+] NOTIF  dev=DEV-2299418B pkg=com.android.chrome title='Rangasthalam.2018.UNC….mkv'
[+] NOTIF  dev=DEV-2299418B pkg=com.android.chrome title='Rangasthalam.2018.UNC….mkv'
[+] NOTIF  dev=DEV-2299418B pkg=com.android.chrome title='Rangasthalam.2018.UNC….mkv'
[+] NOTIF  dev=DEV-2299418B pkg=com.android.chrome title='Rangasthalam.2018.UNC….mkv'
[+] NOTIF  dev=DEV-2299418B pkg=com.android.chrome title='Rangasthalam.2018.UNC….mkv'
[+] NOTIF  dev=DEV-2299418B pkg=com.android.chrome title='Rangasthalam.2018.UNC….mkv'
[+] NOTIF  dev=DEV-2299418B pkg=com.android.chrome title='Rangasthalam.2018.UNC….mkv'
[+] NOTIF  dev=DEV-2299418B pkg=com.android.chrome title='Rangasthalam.2018.UNC….mkv'
